id,name,municipality,lat,lon,median_income_sek,unemployment_rate_pct,sl_commute_to_tcentralen_min,commute_source,avg_price_sek_per_sqm,price_source,transit_type,nearest_station_name,nearest_station_walk_min
deso_0186c1020,Västra Yttringe,Lidingö,59.345292,18.198970,852000,4.0000,39,real,62582,real,tram,Seglarvägen,2
deso_0180c5490,Norra Djurgården,Stockholm,59.353624,18.058771,368300,2.9601,8,real,87246,real,bus,Ruddammen,2
deso_0180c5510,Vällingby,Stockholm,59.358419,17.887847,327100,6.1069,37,real,87246,real,subway,Solleftegatan,2
deso_0180c6180,Rinkeby,Stockholm,59.392274,17.923373,221700,18.3099,29,real,87246,real,subway,Stenbygränd,1
deso_0180c1310,Larsboda,Stockholm,59.257156,18.114636,339600,5.1724,37,real,87246,real,bus,Sköndals centrum,2
deso_0180c1300,Högdalen,Stockholm,59.259032,18.024636,234800,17.1613,34,real,87246,real,subway,Sköllerstagatan,1
deso_0181c1140,Lännock,Södertälje,59.190287,17.640130,377000,5.9086,49,real,24935,real,commuter_rail,Tältvägen,1
deso_0126c1300,Huddinge,Huddinge,59.236661,17.986836,291500,9.6102,27,real,38406,real,commuter_rail,Klockarvägen övre,1
deso_0126c1270,Vistaberg,Huddinge,59.241583,17.946731,572000,3.4006,54,real,38406,real,bus,Bergavägen,5
deso_0127c1460,Fiskarhagen,Botkyrka,59.253781,17.812864,303800,9.1837,47,real,28894,real,bus,Norrskogsvägen,3
deso_0180c1170,Larsboda,Stockholm,59.252698,18.111406,386400,3.5529,37,real,87246,real,bus,Diakongränd,2
deso_0126c1460,Skogsäng,Huddinge,59.256237,17.985628,485800,2.5660,27,real,38406,real,commuter_rail,Källvägen,2
deso_0180c3170,Södermalm,Stockholm,59.310374,18.083789,498600,2.6450,10,real,87246,real,subway,Södermannagatan,1
deso_0180c1390,Gubbängen,Stockholm,59.262408,18.075544,346400,3.5141,28,real,87246,real,subway,Fågeltungan,1
deso_0180c1400,Kryddhyllan,Stockholm,59.262669,18.093194,359900,5.8459,37,real,87246,real,subway,Gubbängsskolan,2
deso_0138c1240,Gimmersta,Tyresö,59.252316,18.270371,552100,2.8037,48,real,37544,real,bus,Tjärnstigen,4
deso_0180c1670,Älvsjö,Stockholm,59.273939,17.964185,612300,1.5184,34,real,87246,real,bus,Apelvägen,2
deso_0180c1760,Tallkrogen,Stockholm,59.274618,18.083971,383200,4.8175,28,real,87246,real,subway,Morkullsvägen,1
deso_0180c2630,Midsommarkransen,Stockholm,59.299953,18.005276,420400,3.2698,18,real,87246,real,subway,Svandammsplan,2
deso_0180c2590,Årsta,Stockholm,59.299100,18.039830,409200,2.0930,16,real,87246,real,commuter_rail,Årsta västra,2
deso_0182c1130,Fiskarhöjden,Nacka,59.292638,18.246566,420700,6.5217,48,real,58476,real,tram,Ostronvägen,1
deso_0180c3070,Nybohov,Stockholm,59.307820,18.032002,513000,3.4549,16,real,87246,real,subway,Sjövik,2
deso_0180c3080,Zinkensdamm,Stockholm,59.309330,18.057587,391000,3.6313,10,real,87246,real,commuter_rail,Södersjukhuset,1
deso_0180c3160,Södermalm,Stockholm,59.310258,18.063372,400300,4.1357,10,real,87246,real,subway,Rosenlund,2
deso_0180c3600,Södermalm,Stockholm,59.316833,18.066972,505500,2.7414,10,real,87246,real,subway,Mariatorget,3
deso_0180c3530,Ekensberg,Stockholm,59.316482,18.013094,426600,3.4442,23,real,87246,real,tram,Gröndal,1
deso_0180c3090,Aspudden,Stockholm,59.309784,17.989377,347700,4.0663,18,real,87246,real,subway,Torsten Almstigen,2
deso_0180c3180,Södermalm,Stockholm,59.310572,18.069144,484400,4.2068,10,real,87246,real,subway,Hallandsgatan,1
deso_0180c3190,Södermalm,Stockholm,59.311175,18.076960,484200,4.4677,10,real,87246,real,subway,Allhelgonagatan Götgatan,2
deso_0180c3120,Liljeholmen,Stockholm,59.309438,18.028611,582700,2.2680,16,real,87246,real,subway,Marievik,1
deso_0180c3670,Zinkensdamm,Stockholm,59.318085,18.046979,435500,3.8961,10,real,87246,real,subway,Ansgariegatan,1
deso_0180c3570,Zinkensdamm,Stockholm,59.316734,18.058382,504400,4.0000,10,real,87246,real,subway,Torkel Knutssonsgatan,1
deso_0120c1050,Bullandö,Värmdö,59.283945,18.665580,380900,5.5556,95,real,44547,real,bus,Hovnoret,7
deso_0180c3640,Zinkensdamm,Stockholm,59.317758,18.054255,575900,2.6349,10,real,87246,real,subway,Hornsgatan/Rosenlundsgatan,1
deso_0180c3630,Hornstull,Stockholm,59.318085,18.027567,382800,3.4602,16,real,87246,real,subway,Bergsunds strand,1
