desokod,area_name,source
0114A0010,Odenslunda,neighbourhood
0114C1010,Sköldnora,hamlet
0114C1020,Sköldnora,hamlet
0114C1030,Sköldnora,hamlet
0114C1040,Odenslunda,neighbourhood
0114C1050,Sköldnora,hamlet
0114C1061,Upplands Väsby,town
0114C1062,Upplands Väsby,town
0114C1070,Sköldnora,hamlet
0114C1080,Odenslunda,neighbourhood
0114C1091,Odenslunda,neighbourhood
0114C1092,Odenslunda,neighbourhood
0114C1100,Vilunda,suburb
0114C1110,Upplands Väsby,town
0114C1120,Odenslunda,neighbourhood
0114C1130,Odenslunda,neighbourhood
0114C1141,Vilunda,suburb
0114C1142,Ekeby,village
0114C1150,Odenslunda,neighbourhood
0114C1160,Odenslunda,neighbourhood
0114C1170,Odenslunda,neighbourhood
0114C1180,Upplands Väsby,town
0114C1190,Odenslunda,neighbourhood
0114C1200,Odenslunda,neighbourhood
0114C1210,Odenslunda,neighbourhood
0114C1220,Upplands Väsby,town
0115A0010,Lingbergs säteri,display_name
0115A0020,Grebbtorp,display_name
0115A0030,Långkärret,display_name
0115A0040,Ekskogen,village
0115B2010,Lindholmen,village
0115B3010,Össeby-Garn,hamlet
0115C1010,Vallentuna,town
0115C1020,Bällsta park,neighbourhood
0115C1030,Bällsta park,neighbourhood
0115C1040,Vallentuna,town
0115C1050,Rickeby,suburb
0115C1060,Vallentuna,town
0115C1070,Vallentuna,town
0115C1080,Vallentuna,town
0115C1090,Vallentuna,town
0115C1100,Lingbergs säteri,display_name
0115C1110,Vallentuna,town
0115C1120,Vallentuna,town
0115C1130,Ekeby,suburb
0117A0010,Hagalund,display_name
0117A0020,Blåsut,display_name
0117A0030,Hjälmsättra,display_name
0117C1010,Valsättra,neighbourhood
0117C1020,Valsättra,neighbourhood
0117C1030,Atterötorpet,display_name
0117C1040,Söra,neighbourhood
0117C1050,Alsro,neighbourhood
0117C1060,Söra,neighbourhood
0117C1070,Söra,neighbourhood
0117C1081,Kylan,display_name
0117C1082,Lill-Bo,display_name
0117C1090,Skånsta,neighbourhood
0117C1100,Söra,neighbourhood
0117C1110,Runö,neighbourhood
0117C1120,Söra,neighbourhood
0117C1130,Runö,neighbourhood
0117C1140,Runö,neighbourhood
0117C1150,Runö,neighbourhood
