cluster_id,municipality,lat,lon,nearest_stop_id,nearest_stop_dist_m,members
0,lidingö,59.345292,18.198970,9022001021161001,177,deso_0186c1020
1,stockholm,59.345928,18.055754,9022001010549002,123,deso_0180c5490|deso_0180c5280|deso_0180c5390|deso_0180c5270|deso_0180c5300|deso_0180c5360|deso_0180c4840|deso_0180c4880|deso_0180c5020|deso_0180c5000|deso_0180c5110|deso_0180c5090|deso_0180c4990|deso_0180c5050|deso_0180c5140|deso_0180c5130|deso_0180c5040|deso_0180c5120|deso_0180c5220|deso_0180c5432|deso_0180c5370|deso_0180c5440
2,stockholm,59.357773,17.890606,9022001012489001,25,deso_0180c5510|deso_0180c5600|deso_0180c5421|deso_0180c5422|deso_0180c5480|deso_0180c5630|deso_0180c5680|deso_0180c5250|deso_0180c5500|deso_0180c5540
3,stockholm,59.390115,17.926675,9022001051528001,111,deso_0180c6180|deso_0180c6100|deso_0180c6090|deso_0180c6120|deso_0180c6110|deso_0180c6152|deso_0180c6160|deso_0180c6151|deso_0180c6210
4,stockholm,59.253507,18.106630,9022001013624001,211,deso_0180c1310|deso_0180c1170|deso_0180c1270|deso_0180c1101|deso_0180c1290|deso_0180c1130|deso_0180c1242
5,stockholm,59.259725,18.027025,9022001013345001,203,deso_0180c1300|deso_0180c1330|deso_0180c1160|deso_0180c1440|deso_0180c1200|deso_0180c1280|deso_0180c1360|deso_0180c1370|deso_0180c1230|deso_0180c1140|deso_0180c1460|deso_0180c1380|deso_0180c1340
6,södertälje,59.194115,17.633241,9022001075633002,305,deso_0181c1140|deso_0181c1170|deso_0181c1282|deso_0181c1200
7,huddinge,59.237367,17.988780,9022001070953001,110,deso_0126c1300|deso_0126c1320|deso_0126c1230|deso_0126c1260|deso_0126c1280|deso_0126c1340
8,huddinge,59.240932,17.955073,9022001070919001,486,deso_0126c1270|deso_0126c1360
9,botkyrka,59.247940,17.819426,9022001072358001,263,deso_0127c1460|deso_0127c1431|deso_0127c1380|deso_0127c1390|deso_0127c1360|deso_0127c1370|deso_0127c1400|deso_0127c1432|deso_0127c1410
10,huddinge,59.254383,17.974815,9022001070290002,248,deso_0126c1460|deso_0126c1440|deso_0126c1390|deso_0126c1470|deso_0126c1480
11,stockholm,59.312612,18.074935,9022001010144001,197,deso_0180c3170|deso_0180c3180|deso_0180c3190|deso_0180c3250|deso_0180c3280|deso_0180c3260|deso_0180c3290|deso_0180c3340|deso_0180c3710|deso_0180c3420|deso_0180c3440|deso_0180c3520|deso_0180c3350|deso_0180c3770|deso_0180c3690|deso_0180c2910|deso_0180c3020|deso_0180c3750|deso_0180c3390|deso_0180c2940|deso_0180c2930|deso_0180c3000|deso_0180c3110|deso_0180c3040|deso_0180c3130|deso_0180c3140|deso_0180c3150|deso_0180c3430|deso_0180c3320|deso_0180c3460|deso_0180c3450|deso_0180c3360|deso_0180c3550|deso_0180c3680|deso_0180c3650
12,stockholm,59.257809,18.075366,9022001090101001,75,deso_0180c1390|deso_0180c1260|deso_0180c1150|deso_0180c1220|deso_0180c1410
13,stockholm,59.257186,18.087304,9022001013338005,273,deso_0180c1400|deso_0180c1250|deso_0180c1180
14,tyresö,59.252316,18.270371,9022001080225002,324,deso_0138c1240
15,stockholm,59.275394,17.972122,9022001013485001,343,deso_0180c1670|deso_0180c1700|deso_0180c1620|deso_0180c1820
16,stockholm,59.274385,18.078841,9022001001841002,516,deso_0180c1760|deso_0180c1570|deso_0180c1580|deso_0180c1630|deso_0180c1790|deso_0180c1890|deso_0180c2000
17,stockholm,59.304706,18.004369,9022001013507001,130,deso_0180c2630|deso_0180c2720|deso_0180c2870|deso_0180c2890|deso_0180c2970|deso_0180c3030|deso_0180c2570|deso_0180c2620|deso_0180c2740|deso_0180c2770|deso_0180c2850|deso_0180c2730|deso_0180c2990|deso_0180c3010
18,stockholm,59.304234,18.030852,9022001013179002,165,deso_0180c2590|deso_0180c2783|deso_0180c2951|deso_0180c2781|deso_0180c2782|deso_0180c2952|deso_0180c2953|deso_0180c2800|deso_0180c3060
19,nacka,59.291966,18.253205,9022001040137001,267,deso_0182c1130|deso_0182c1150|deso_0182c1120|deso_0182c1140
20,stockholm,59.315977,18.033884,9022001010649004,38,deso_0180c3070|deso_0180c3120|deso_0180c3660|deso_0180c3700|deso_0180c3230|deso_0180c3400|deso_0180c3780|deso_0180c3810|deso_0180c3790|deso_0180c3370|deso_0180c3470|deso_0180c3500|deso_0180c3490
21,stockholm,59.315868,18.056523,9022001010659002,62,deso_0180c3080|deso_0180c3160|deso_0180c3600|deso_0180c3570|deso_0180c3640|deso_0180c3310|deso_0180c3210|deso_0180c3580|deso_0180c3800|deso_0180c3820|deso_0180c3480|deso_0180c3740
22,stockholm,59.318952,18.014274,9022001013086004,355,deso_0180c3530|deso_0180c3630|deso_0180c3590|deso_0180c3510|deso_0180c3220|deso_0180c3830|deso_0180c3900
23,stockholm,59.305697,17.981975,9022001013063002,368,deso_0180c3090|deso_0180c2900|deso_0180c2680|deso_0180c2760|deso_0180c2920
24,stockholm,59.329727,18.038807,9022001010375001,106,deso_0180c3670|deso_0180c3620|deso_0180c3930|deso_0180c3960|deso_0180c4140|deso_0180c3970|deso_0180c3990|deso_0180c4150|deso_0180c4230|deso_0180c4240|deso_0180c4290|deso_0180c4370|deso_0180c4360|deso_0180c4610
25,värmdö,59.283945,18.665580,9022001041401002,568,deso_0120c1050
26,nacka,59.313322,18.135408,9022001010991001,155,deso_0182c1372|deso_0182c1250|deso_0182c1371|deso_0182c1280|deso_0182c1350
27,nacka,59.310381,18.115316,9022001010611002,132,deso_0182c1330|deso_0182c1260|deso_0182c1200
28,nacka,59.306793,18.239750,9022001040423002,330,deso_0182c1291|deso_0182c1292|deso_0182c1310
29,stockholm,59.336797,18.024212,9022001010002001,131,deso_0180c4170|deso_0180c4280|deso_0180c4270|deso_0180c4410|deso_0180c4420|deso_0180c4520|deso_0180c4490|deso_0180c4730|deso_0180c4100|deso_0180c4020|deso_0180c4090|deso_0180c4130|deso_0180c4780|deso_0180c4320|deso_0180c4600|deso_0180c4660|deso_0180c4470|deso_0180c4850|deso_0180c4740|deso_0180c4820|deso_0180c4920|deso_0180c5030
30,nacka,59.323381,18.272352,9022001040337002,181,deso_0182c1420
31,stockholm,59.335938,18.048662,9022001010282002,138,deso_0180c4160|deso_0180c4220|deso_0180c4400|deso_0180c4650|deso_0180c4620|deso_0180c4010|deso_0180c4120|deso_0180c4630|deso_0180c4760|deso_0180c4500|deso_0180c4800|deso_0180c4860
32,stockholm,59.336387,17.947226,9022001012003001,258,deso_0180c4300|deso_0180c4050|deso_0180c4590|deso_0180c4530|deso_0180c4190|deso_0180c4260|deso_0180c4480
33,stockholm,59.336076,17.994799,9022001012411001,225,deso_0180c4180|deso_0180c4330|deso_0180c4670|deso_0180c4580|deso_0180c4350|deso_0180c4550|deso_0180c4070|deso_0180c4030|deso_0180c4250|deso_0180c4440|deso_0180c4680
34,stockholm,59.338953,18.087745,9022001010042001,91,deso_0180c4310|deso_0180c4690|deso_0180c4910|deso_0180c4960|deso_0180c4640|deso_0180c4720|deso_0180c4750|deso_0180c4790|deso_0180c5210|deso_0180c4210|deso_0180c4340|deso_0180c4380|deso_0180c4450|deso_0180c4430|deso_0180c4540|deso_0180c4390|deso_0180c4560|deso_0180c4810|deso_0180c4830|deso_0180c4890|deso_0180c4770|deso_0180c5010|deso_0180c4930|deso_0180c5070|deso_0180c5080|deso_0180c5170|deso_0180c5200
35,nacka,59.315536,18.296603,,810,deso_0182c1430|deso_0182c1360
36,stockholm,59.343364,17.885683,9022001012177001,201,deso_0180c4510|deso_0180c4460|deso_0180c4940|deso_0180c4950
37,stockholm,59.346100,18.039662,9022001010460001,238,deso_0180c5310|deso_0180c4980|deso_0180c4900|deso_0180c5230|deso_0180c5264|deso_0180c5262|deso_0180c5261|deso_0180c5060|deso_0180c5263
38,stockholm,59.302430,18.100376,9022001010676001,175,deso_0180c2670|deso_0180c2860|deso_0180c2960|deso_0180c2881|deso_0180c2980|deso_0180c2650|deso_0180c2610|deso_0180c2660|deso_0180c2790|deso_0180c2882|deso_0180c2830|deso_0180c2840|deso_0180c3050|deso_0180c3100
39,stockholm,59.295240,17.976482,9022001002831001,111,deso_0180c2640|deso_0180c2440|deso_0180c2270|deso_0180c2310|deso_0180c2320|deso_0180c2420|deso_0180c2510
40,stockholm,59.294866,18.089634,9022001001601001,61,deso_0180c2690|deso_0180c2810|deso_0180c2520|deso_0180c2360|deso_0180c2410|deso_0180c2400|deso_0180c2460|deso_0180c2390
41,solna,59.362389,17.993761,9022001050474001,172,deso_0184c1120|deso_0184c1230|deso_0184c1260|deso_0184c1250|deso_0184c1100|deso_0184c1110|deso_0184c1140|deso_0184c1150|deso_0184c1160|deso_0184c1210|deso_0184c1220|deso_0184c1240|deso_0184c1290|deso_0184c1310
42,stockholm,59.312249,18.098641,9022001010976001,87,deso_0180c3202|deso_0180c3201|deso_0180c3300|deso_0180c3240|deso_0180c3380|deso_0180c3540
43,stockholm,59.362383,17.951498,9022001012111001,211,deso_0180c5620|deso_0180c5751|deso_0180c5550|deso_0180c5752|deso_0180c5691|deso_0180c5692
44,solna,59.363844,18.012383,9022001050146003,35,deso_0184c1130|deso_0184c1200|deso_0184c1170|deso_0184c1190|deso_0184c1270|deso_0184c1300
45,stockholm,59.268156,18.049800,9022001001661002,249,deso_0180c1470|deso_0180c1650|deso_0180c1480|deso_0180c1540|deso_0180c1320|deso_0180c1450|deso_0180c1530|deso_0180c1710
46,stockholm,59.367302,17.876529,9022001012452002,213,deso_0180c5800|deso_0180c5840|deso_0180c5700|deso_0180c5590|deso_0180c5730|deso_0180c5720|deso_0180c5870
47,solna,59.370852,17.996570,9022001050035002,120,deso_0184c1280|deso_0184c1320
48,stockholm,59.366482,17.838525,9022001016703001,117,deso_0180c5810|deso_0180c5660|deso_0180c5780|deso_0180c5710|deso_0180c5450|deso_0180c5580|deso_0180c5670|deso_0180c5760|deso_0180c5790|deso_0180c5830
49,solna,59.379079,18.007424,9022001050209002,122,deso_0184c1330|deso_0184c1350|deso_0184c1410
50,solna,59.380699,18.033451,9022001050388002,85,deso_0184c1380|deso_0184c1340|deso_0184c1360|deso_0184c1400|deso_0184c1420
51,stockholm,59.373519,17.905549,9022001012275001,369,deso_0180c5820|deso_0180c5862|deso_0180c5861|deso_0180c5960
52,stockholm,59.407172,17.929743,9022001051474002,161,deso_0180c6350|deso_0180c6360|deso_0180c6370|deso_0180c6380|deso_0180c6400|deso_0180c6320|deso_0180c6290|deso_0180c6310|deso_0180c6390
53,järfälla,59.406398,17.788482,9022001051829001,328,deso_0123c1070|deso_0123c1120
54,södertälje,59.192137,17.690017,9022001075122001,227,deso_0181c1302|deso_0181c1301
55,södertälje,59.193054,17.610004,9022001075845004,87,deso_0181c1162|deso_0181c1180|deso_0181c1110|deso_0181c1100|deso_0181c1130|deso_0181c1161|deso_0181c1230|deso_0181c1240|deso_0181c1220
56,stockholm,59.277503,18.127563,9022001001941001,248,deso_0180c1750|deso_0180c1810|deso_0180c2040|deso_0180c1610|deso_0180c1800|deso_0180c1900|deso_0180c1950|deso_0180c1940|deso_0180c2230
57,stockholm,59.275368,18.031804,9022001013041001,72,deso_0180c1840|deso_0180c1770|deso_0180c1550|deso_0180c1640|deso_0180c1880
58,järfälla,59.456587,17.815020,9022001051610001,151,deso_0123c1370|deso_0123c1340|deso_0123c1350|deso_0123c1380|deso_0123c1360
59,sollentuna,59.451695,17.960674,9022001050774002,300,deso_0163c1290|deso_0163c1270|deso_0163c1311
