desokod,commute_min,cluster_id,source
deso_0186c1020,39,0,real
deso_0180c5490,8,1,real
deso_0180c5510,37,2,real
deso_0180c6180,29,3,real
deso_0180c1310,37,4,real
deso_0180c1300,34,5,real
deso_0181c1140,49,6,real
deso_0126c1300,27,7,real
deso_0126c1270,54,8,real
deso_0127c1460,47,9,real
deso_0180c1170,37,4,real
deso_0126c1460,27,10,real
deso_0180c3170,10,11,real
deso_0180c1390,28,12,real
deso_0180c1400,37,4,real
deso_0138c1240,48,13,real
deso_0180c1670,34,14,real
deso_0180c1760,28,12,real
deso_0180c2630,18,15,real
deso_0180c2590,16,16,real
deso_0182c1130,48,17,real
deso_0180c3070,16,16,real
deso_0180c3080,10,11,real
deso_0180c3160,10,11,real
deso_0180c3600,10,11,real
deso_0180c3530,23,18,real
deso_0180c3090,18,15,real
deso_0180c3180,10,11,real
deso_0180c3190,10,11,real
deso_0180c3120,16,16,real
deso_0180c3670,10,11,real
deso_0180c3570,10,11,real
deso_0120c1050,95,19,real
deso_0180c3640,10,11,real
deso_0180c3630,16,16,real
deso_0182c1372,42,20,real
deso_0180c3590,16,16,real
deso_0182c1330,42,20,real
deso_0180c3620,10,11,real
deso_0180c3660,16,16,real
deso_0182c1291,57,21,real
deso_0180c4170,9,22,real
deso_0182c1420,45,23,real
deso_0180c4160,9,22,real
deso_0180c4300,32,24,real
deso_0180c4220,9,22,real
deso_0180c4180,24,25,real
deso_0180c4280,9,22,real
deso_0180c4310,10,26,real
deso_0182c1430,70,27,real
deso_0180c4270,9,22,real
deso_0180c4410,9,22,real
deso_0180c4420,9,22,real
deso_0180c4330,9,22,real
deso_0180c4670,24,25,real
deso_0180c4510,37,28,real
deso_0180c5310,8,1,real
deso_0180c2670,28,29,real
deso_0180c2720,18,15,real
deso_0180c2783,16,16,real
deso_0180c2640,25,30,real
deso_0180c2690,28,29,real
deso_0184c1120,16,31,real
deso_0182c1250,42,20,real
deso_0180c3250,10,11,real
deso_0180c3280,10,11,real
