desokod,region_code,municipality_code,municipality_name,lat,lon,median_income_sek_proxy,unemployment_rate_pct
0186C1020,0186C1020_DeSO2025,0186,Lidingö,59.345292,18.19897,852000.0,4.0
0180C5490,0180C5490_DeSO2025,0180,Stockholm,59.353624,18.058771,368300.0,2.9601
0180C5510,0180C5510_DeSO2025,0180,Stockholm,59.358419,17.887847,327100.0,6.1069
0180C6180,0180C6180_DeSO2025,0180,Stockholm,59.392274,17.923373,221700.0,18.3099
0180C1310,0180C1310_DeSO2025,0180,Stockholm,59.257156,18.114636,339600.0,5.1724
0180C1300,0180C1300_DeSO2025,0180,Stockholm,59.259032,18.024636,234800.0,17.1613
0181C1140,0181C1140_DeSO2025,0181,Södertälje,59.190287,17.64013,377000.0,5.9086
0126C1300,0126C1300_DeSO2025,0126,Huddinge,59.236661,17.986836,291500.0,9.6102
0126C1270,0126C1270_DeSO2025,0126,Huddinge,59.241583,17.946731,572000.0,3.4006
0127C1460,0127C1460_DeSO2025,0127,Botkyrka,59.253781,17.812864,303800.0,9.1837
0180C1170,0180C1170_DeSO2025,0180,Stockholm,59.252698,18.111406,386400.0,3.5529
0126C1460,0126C1460_DeSO2025,0126,Huddinge,59.256237,17.985628,485800.0,2.566
0180C3170,0180C3170_DeSO2025,0180,Stockholm,59.310374,18.083789,498600.0,2.645
0180C1390,0180C1390_DeSO2025,0180,Stockholm,59.262408,18.075544,346400.0,3.5141
0180C1400,0180C1400_DeSO2025,0180,Stockholm,59.262669,18.093194,359900.0,5.8459
0138C1240,0138C1240_DeSO2025,0138,Tyresö,59.252316,18.270371,552100.0,2.8037
0180C1670,0180C1670_DeSO2025,0180,Stockholm,59.273939,17.964185,612300.0,1.5184
0180C1760,0180C1760_DeSO2025,0180,Stockholm,59.274618,18.083971,383200.0,4.8175
0180C2630,0180C2630_DeSO2025,0180,Stockholm,59.299953,18.005276,420400.0,3.2698
0180C2590,0180C2590_DeSO2025,0180,Stockholm,59.2991,18.03983,409200.0,2.093
0182C1130,0182C1130_DeSO2025,0182,Nacka,59.292638,18.246566,420700.0,6.5217
0180C3070,0180C3070_DeSO2025,0180,Stockholm,59.30782,18.032002,513000.0,3.4549
0180C3080,0180C3080_DeSO2025,0180,Stockholm,59.30933,18.057587,391000.0,3.6313
0180C3160,0180C3160_DeSO2025,0180,Stockholm,59.310258,18.063372,400300.0,4.1357
0180C3600,0180C3600_DeSO2025,0180,Stockholm,59.316833,18.066972,505500.0,2.7414
0180C3530,0180C3530_DeSO2025,0180,Stockholm,59.316482,18.013094,426600.0,3.4442
0180C3090,0180C3090_DeSO2025,0180,Stockholm,59.309784,17.989377,347700.0,4.0663
0180C3180,0180C3180_DeSO2025,0180,Stockholm,59.310572,18.069144,484400.0,4.2068
0180C3190,0180C3190_DeSO2025,0180,Stockholm,59.311175,18.07696,484200.0,4.4677
0180C3120,0180C3120_DeSO2025,0180,Stockholm,59.309438,18.028611,582700.0,2.268
0180C3670,0180C3670_DeSO2025,0180,Stockholm,59.318085,18.046979,435500.0,3.8961
0180C3570,0180C3570_DeSO2025,0180,Stockholm,59.316734,18.058382,504400.0,4.0
0120C1050,0120C1050_DeSO2025,0120,Värmdö,59.283945,18.66558,380900.0,5.5556
0180C3640,0180C3640_DeSO2025,0180,Stockholm,59.317758,18.054255,575900.0,2.6349
0180C3630,0180C3630_DeSO2025,0180,Stockholm,59.318085,18.027567,382800.0,3.4602
0182C1372,0182C1372_DeSO2025,0182,Nacka,59.315797,18.1396,539800.0,2.439
0180C3590,0180C3590_DeSO2025,0180,Stockholm,59.317828,18.021268,530200.0,2.2767
