desokod,transit_type,nearest_station_name,nearest_station_walk_min,nearest_station_dist_m
deso_0186c1020,tram,Seglarvägen,2,177
deso_0180c5490,bus,Ruddammen,2,157
deso_0180c5510,subway,Solleftegatan,2,179
deso_0180c6180,subway,Stenbygränd,1,72
deso_0180c1310,bus,Sköndals centrum,2,153
deso_0180c1300,subway,Sköllerstagatan,1,118
deso_0181c1140,commuter_rail,Tältvägen,1,105
deso_0126c1300,commuter_rail,Klockarvägen övre,1,68
deso_0126c1270,bus,Bergavägen,5,391
deso_0127c1460,bus,Norrskogsvägen,3,209
deso_0180c1170,bus,Diakongränd,2,199
deso_0126c1460,commuter_rail,Källvägen,2,188
deso_0180c3170,subway,Södermannagatan,1,11
deso_0180c1390,subway,Fågeltungan,1,68
deso_0180c1400,subway,Gubbängsskolan,2,166
deso_0138c1240,bus,Tjärnstigen,4,321
deso_0180c1670,bus,Apelvägen,2,207
deso_0180c1760,subway,Morkullsvägen,1,90
deso_0180c2630,subway,Svandammsplan,2,135
deso_0180c2590,commuter_rail,Årsta västra,2,165
deso_0182c1130,tram,Ostronvägen,1,122
deso_0180c3070,subway,Sjövik,2,125
deso_0180c3080,commuter_rail,Södersjukhuset,1,61
deso_0180c3160,subway,Rosenlund,2,133
deso_0180c3600,subway,Mariatorget,3,213
deso_0180c3530,tram,Gröndal,1,91
deso_0180c3090,subway,Torsten Almstigen,2,130
deso_0180c3180,subway,Hallandsgatan,1,112
deso_0180c3190,subway,Allhelgonagatan Götgatan,2,176
deso_0180c3120,subway,Marievik,1,106
deso_0180c3670,subway,Ansgariegatan,1,68
deso_0180c3570,subway,Torkel Knutssonsgatan,1,69
deso_0120c1050,bus,Hovnoret,7,568
deso_0180c3640,subway,Hornsgatan/Rosenlundsgatan,1,14
deso_0180c3630,subway,Bergsunds strand,1,41
deso_0182c1372,bus,Kvarnholmen,1,2
deso_0180c3590,subway,Reimersholme,1,6
deso_0182c1330,bus,Danvikshem,1,118
deso_0180c3620,subway,Högalidskyrkan,1,41
deso_0180c3660,subway,Verkstadsgatan,1,15
deso_0182c1291,bus,Mellanbergsvägen,2,148
deso_0180c4170,subway,Thorildsplan Lindhagensgatan S:t Görans sjukhus,1,55
deso_0182c1420,bus,Boovägen,2,181
deso_0180c4160,subway,Polhemsgatan,2,182
deso_0180c4300,subway,Gustav III:s väg,3,231
deso_0180c4220,subway,Kungsbroplan,1,47
deso_0180c4180,subway,Tranebergsslingan,1,53
deso_0180c4280,subway,Arbetargatan,2,141
deso_0180c4310,subway,Djurgårdsbron,1,60
deso_0182c1430,bus,Norrkärr,7,621
deso_0180c4270,subway,Lindhagensgatan,3,236
deso_0180c4410,subway,Fleminggatan,1,121
deso_0180c4420,subway,Arbetargatan,2,148
deso_0180c4330,subway,Olof Dalins väg,2,147
deso_0180c4670,subway,Vidängsvägen,2,138
deso_0180c4510,subway,Ängbybadet,5,388
deso_0180c5310,subway,Norra Stationsgatan,1,98
