municipality_name,avg_price_sek_per_sqm,source,fetched_date
Botkyrka,28894,real,2026-03-05
Danderyd,62056,real,2026-03-05
Ekerö,49231,real,2026-03-05
Haninge,31888,real,2026-03-05
Huddinge,38406,real,2026-03-05
Järfälla,33169,real,2026-03-05
Lidingö,62582,real,2026-03-05
Nacka,58476,real,2026-03-05
Norrtälje,28862,real,2026-03-05
Nykvarn,32788,real,2026-03-05
Nynäshamn,24594,real,2026-03-05
Salem,29078,real,2026-03-05
Sigtuna,26583,real,2026-03-05
Sollentuna,40647,real,2026-03-05
Solna,63037,real,2026-03-05
Stockholm,87246,real,2026-03-05
Sundbyberg,64854,real,2026-03-05
Södertälje,24935,real,2026-03-05
Tyresö,37544,real,2026-03-05
Täby,48033,real,2026-03-05
Upplands Väsby,31294,real,2026-03-05
Upplands-Bro,29848,real,2026-03-05
Vallentuna,32693,real,2026-03-05
Vaxholm,44904,real,2026-03-05
Värmdö,44547,real,2026-03-05
Österåker,36454,real,2026-03-05
